#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
,,,than $201),,,
135.82,Interior Specialists,N/A,None (or less,,,
,,,than $201),,,
135.83,Ironform Holdings,N/A,None (or less,,,
,,,than $201),,,
135.84,ISS,N/A,None (or less,,,
,,,than $201),,,
135.85,Ivy Rehab,N/A,None (or less,,,
,,,than $201),,,
135.86,Jefferson Capital,N/A,None (or less,,,
,,,than $201),,,
135.87,JetPay,N/A,None (or less,,,
,,,than $201),,,
135.88,JZ Capital Partners,N/A,None (or less,,,
,,,than $201),,,
135.89,K2 Solutions,N/A,None (or less,,,
,,,than $201),,,
135.9,Kastle Therapeutics,N/A,None (or less,,,
,,,than $201),,,
135.91,Kaufman Hall,N/A,None (or less,,,
,,,than $201),,,
135.92,Kewill,N/A,None (or less,,,
,,,than $201),,,
135.93,KingStar,N/A,None (or less,,,
,,,than $201),,,
135.94,Kiran Energy,N/A,None (or less,,,
,,,than $201),,,
135.95,KS Oils,N/A,None (or less,,,
,,,than $201),,,
135.96,Lancaster Pollard,N/A,None (or less,,,
,,,than $201),,,
135.97,LDE Holding Corp,N/A,None (or less,,,
,,,than $201),,,
135.98,LGS Innovations,N/A,None (or less,,,
,,,than $201),,,
135.99,Limestone Holdings,N/A,None (or less,,,
,,,than $201),,,
135.1,Liquid Web,N/A,None (or less,,,
0,,,than $201),,,
135.1,Long Term Care Group,N/A,None (or less,,,
1,,,than $201),,,
135.1,Lumata,N/A,None (or less,,,
2,,,than $201),,,
135.1,MacroCure,N/A,None (or less,,,
3,,,than $201),,,
135.1,Matomy,N/A,None (or less,,,
4,,,than $201),,,
135.1,Medsurant,N/A,None (or less,,,
5,,,than $201),,,
135.1,MerchCap Solutions,N/A,None (or less,,,
6,,,than $201),,,
135.1,MidCap Financial SBIC,N/A,None (or less,,,
7,,,than $201),,,
135.1,MobileAccess,N/A,None (or less,,,
8,,,than $201),,,
135.1,Moreau Electrique,N/A,None (or less,,,
9,,,than $201),,,
135.11,Mortage-Asset Holdings,N/A,None (or less,,,
0,,,than $201),,,
135.11,Moshe's Fine Foods,N/A,None (or less,,,
1,,,than $201),,,
135.11,Multi Packaging Solutions,N/A,None (or less,,,
2,,,than $201),,,
135.11,myThings,N/A,None (or less,,,
3,,,than $201),,,
135.11,National Commerce Bank,N/A,None (or less,,,
4,,,than $201),,,
135.11,National Financial Partners,N/A,None (or less,,,
5,,,than $201),,,
135.11,SunSource,N/A,None (or less,,,
6,,,than $201),,,
135.11,National Security Partners,N/A,None (or less,,,
7,,,than $201),,,
135.11,T&H Global,N/A,None (or less,,,
8,,,than $201),,,
135.11,Tech Industries,N/A,None (or less,,,
9,,,than $201),,,
135.12,Testing Services,N/A,None (or less,,,
0,,,than $201),,,
135.12,Nautronix,N/A,None (or less,,,
1,,,than $201),,,
135.12,The ARC Group,N/A,None (or less,,,
2,,,than $201),,,
135.12,NEBCO Insurance,N/A,None (or less,,,
3,,,than $201),,,
135.12,Therapeutic Research,N/A,None (or less,,,
4,,,than $201),,,
135.12,Nectar Lifesciences,N/A,None (or less,,,
5,,,than $201),,,
135.12,Things Remembered,N/A,None (or less,,,
6,,,than $201),,,
135.12,New Ocean Capital,N/A,None (or less,,,
7,,,than $201),,,
135.12,TIDI Products,N/A,None (or less,,,
8,,,than $201),,,
135.12,New Point IV,N/A,None (or less,,,
9,,,than $201),,,
135.13,New Point V,N/A,None (or less,,,
0,,,than $201),,,
135.13,Top Rx,N/A,None (or less,,,
1,,,than $201),,,
135.13,New Point VI,N/A,None (or less,,,
2,,,than $201),,,
135.13,TransUnion,N/A,None (or less,,,
3,,,than $201),,,
135.13,Trident V Credit Holdings,N/A,None (or less,,,
4,,,than $201),,,
135.13,New Point VII,N/A,None (or less,,,
5,,,than $201),,,
135.13,Newgistics,N/A,None (or less,,,
6,,,than $201),,,
135.13,Triwater Holdings,N/A,None (or less,,,
7,,,than $201),,,
135.13,Newport Group,N/A,None (or less,,,
8,,,than $201),,,
135.13,Unitech Holdings,N/A,None (or less,,,
9,,,than $201),,,
135.14,Nextech,N/A,None (or less,,,
0,,,than $201),,,
135.14,NextG Networks,N/A,None (or less,,,
1,,,than $201),,,
135.14,US Logistics Solutions,N/A,None (or less,,,
2,,,than $201),,,
135.14,Nine Energy Services Inc.,N/A,None (or less,,,
3,,,than $201),,,
135.14,USM Holdings,N/A,None (or less,,,
4,,,than $201),,,
135.14,Non Control Pool,N/A,None (or less,,,
5,,,than $201),,,
135.14,USP Holdings,N/A,None (or less,,,
6,,,than $201),,,
135.14,Northwest Hardwoods,N/A,None (or less,,,
7,,,than $201),,,
135.14,Varsity Education,N/A,None (or less,,,
8,,,than $201),,,
135.14,NSC Minerals,N/A,None (or less,,,
9,,,than $201),,,
135.15,Vasudev Adigas,N/A,None (or less,,,
0,,,than $201),,,
135.15,NXT Capital,N/A,None (or less,,,
1,,,than $201),,,
135.15,O&P Care Services,N/A,None (or less,,,
2,,,than $201),,,
135.15,Vautron,N/A,None (or less,,,
3,,,than $201),,,
135.15,Omega Morgan,N/A,None (or less,,,
4,,,than $201),,,
135.15,Vendavo,N/A,None (or less,,,
5,,,than $201),,,
135.15,Option Care,N/A,None (or less,,,
6,,,than $201),,,
135.15,Vertical Bridge,N/A,None (or less,,,
7,,,than $201),,,
135.15,Orad,N/A,None (or less,,,
8,,,than $201),,,
135.15,VRL Logistics,N/A,None (or less,,,
9,,,than $201),,,
135.16,Orchid Chemicals,N/A,None (or less,,,
0,,,than $201),,,
135.16,WC Foss Investment,N/A,None (or less,,,
1,,,than $201),,,
135.16,Ortel Communications,N/A,None (or less,,,
2,,,than $201),,,
135.16,OSY Technologies,N/A,None (or less,,,
3,,,than $201),,,
135.16,Wilton Re,N/A,None (or less,,,
4,,,than $201),,,
135.16,P&R Dental Strategies,N/A,None (or less,,,
5,,,than $201),,,
135.16,Wind Telecom,N/A,None (or less,,,
6,,,than $201),,,
135.16,Pacific Capital Bancorp,N/A,None (or less,,,
7,,,than $201),,,
135.16,Wolverine Automotive,N/A,None (or less,,,
8,,,than $201),,,
135.16,Paylease,N/A,None (or less,,,
9,,,than $201),,,
135.17,World and Main,N/A,None (or less,,,
0,,,than $201),,,
135.17,Paymetric,N/A,None (or less,,,
1,,,than $201),,,
135.17,Zend,N/A,None (or less,,,
2,,,than $201),,,
135.17,Pelican Auto Finance,N/A,None (or less,,,
3,,,than $201),,,
135.17,Summit Behavioral,N/A,None (or less,,,
4,,,than $201),,,
135.17,Plex,N/A,None (or less,,,
5,,,than $201),,,
135.17,Prima Capital Advisors,N/A,None (or less,,,
6,,,than $201),,,
135.17,State National,N/A,None (or less,,,
7,,,than $201),,,
135.17,ProNerve,N/A,None (or less,,,
8,,,than $201),,,
135.17,Starstone Insurance,N/A,None (or less,,,
9,,,than $201),,,
135.18,Prosper Marketplace,N/A,None (or less,,,
0,,,than $201),,,
135.18,Standard Bancshares,N/A,None (or less,,,
1,,,than $201),,,
135.18,PSI Enterprises,N/A,None (or less,,,
2,,,than $201),,,
135.18,QuickPlay Media,N/A,None (or less,,,
3,,,than $201),,,
135.18,SPL Holdings,N/A,None (or less,,,
4,,,than $201),,,
135.18,Soundview Maritime,N/A,None (or less,,,
5,,,than $201),,,
135.18,Reischling Press,N/A,None (or less,,,
6,,,than $201),,,
135.18,SKY Harbor Capital,N/A,None (or less,,,
7,,,than $201),,,
135.18,Reliance Infratel,N/A,None (or less,,,
8,,,than $201),,,
135.18,Renaissance Acquisition,N/A,None (or less,,,
9,,,than $201),,,
135.19,Site Energy Services,N/A,None (or less,,,
0,,,than $201),,,
135.19,REPAY Holdings,N/A,None (or less,,,
1,,,than $201),,,
135.19,Service Finance Holdings,N/A,None (or less,,,
2,,,than $201),,,
135.19,Retail Capital,N/A,None (or less,,,
3,,,than $201),,,
135.19,Rockwater Energy,N/A,None (or less,,,
4,,,than $201),,,
135.19,Sequence Health,N/A,None (or less,,,
5,,,than $201),,,
135.19,Rolex Rings,N/A,None (or less,,,
6,,,than $201),,,
135.19,Sensors Solutions,N/A,None (or less,,,
7,,,than $201),,,
135.19,RR Media,N/A,,,None (or less,
8,,,,,than $201),
135.19,Sage Products,N/A,,,None (or less,
9,,,,,than $201),
135.2,SemiTorr,N/A,,,None (or less,
0,,,,,than $201),
135.2,Salter Medical Holdings,N/A,,,None (or less,
1,,,,,than $201),
135.2,Sedgwick,N/A,,,None (or less,
2,,,,,than $201),
135.2,Salter Medical Holdings,N/A,,,None (or less,
3,,,,,than $201),
135.2,SCS Financial,N/A,,,None (or less,
4,,,,,than $201),
135.2,Santa Cruz Nationals,N/A,,,None (or less,
5,,,,,than $201),
135.2,Schrader International,N/A,,,None (or less,
6,,,,,than $201),
136,MAP 2015 LP,Yes,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
137,SW Multifamily Portfolio Fund,No,"$1,000,001 -",Rent or,"$15,001 -",
,,,"$5,000,000 ",Royalties,"$50,000 ",
137.1,Pillar at Bella Vista LLC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
137.2,Arrowhead Apartment Partners LLC,No,"$500,001 -",,None (or less,
,,,"$1,000,000 ",,than $201),
137.3,Courtney Vista Apartments,,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
137.4,Pillar of Westgate LLC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
137.5,Metro at Zanjero LLC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
137.6,San Paulo Apartment Partners LLC,No,"$500,001 -",None (or less,,
,,,"$1,000,000 ",than $201),,
138,AETHER REAL ASSETS I LP,No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
138.1,"Resource Land Fund IV, LLC",No,,None (or less,,
,,,,than $201),,
138.2,Pacific Road Resources Fund II L.P.,No,,None (or less,,
,,,,than $201),,
138.3,Resource Capital Fund V L.P.,No,,None (or less,,
,,,,than $201),,
138.4,"Blenheim Natural Resources Fund, LLC",No,,None (or less,,
,,,,than $201),,
138.5,"Scout Energy Partners I-B, LP",No,,None (or less,,
,,,,than $201),,
138.6,SW Energy Capital Limited Partnership,No,,None (or less,,
,,,,than $201),,
138.7,Annapolis Investment (US) LP V,No,,None (or less,,
,,,,than $201),,
138.8,Annapolis Investment (US) LP VI,No,,None (or less,,
,,,,than $201),,
138.9,"Rockland Power Partners I, LP",No,,None (or less,,
,,,,than $201),,
138.1,Clyde Blowers Capital Fund III LP,No,,None (or less,,
,,,,than $201),,
139,AETHER REAL ASSETS III LP,No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
139.1,"EMR Capital Resources Fund 1, LP",No,,None (or less,,
,,,,than $201),,
139.2,African Minerals Exploration & Development,No,,None (or less,,
,Fund II SICAR,,,than $201),,
139.3,"ACM Permanent Crops, LLC",No,,None (or less,,
,,,,than $201),,
139.4,"Kerogen Energy Fund C (Co-Investment), L.P.",No,,None (or less,,
,,,,than $201),,
139.5,32 Degrees Diversified Energy Fund III (US),No,,None (or less,,
,L.P.,,,than $201),,
139.6,"Scout Energy Partners II-B, LP",No,,None (or less,,
,,,,than $201),,
139.7,"Kerogen Energy Fund II B, L.P.",No,,None (or less,,
,,,,than $201),,
139.8,Lascaux Resource Capital Fund I L.P.,No,,None (or less,,
,,,,than $201),,
139.9,CE Mining Fund II L.P.,No,,None (or less,,
,,,,than $201),,
139.1,"Resource Land Fund V, LP",No,,None (or less,,
,,,,than $201),,
139.11,Greenstone Resources II L.P.,No,,None (or less,,
,,,,than $201),,
140,Biscayne Bay Apartments LP (sold 11/21/16),No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
141,Protege Partners LP (sold 12/31/16),No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
142,Rebel Industries (sold 12/31/16),No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
143,Adamas Partners LP (sold 12/31/16),No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
144,QUELLOS PRIVATE CAPITAL II,No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
144.1,"Accel IX Strategic Partners, L.P.",No,,None (or less,,
,,,,than $201),,
144.2,"Balderton Capital III, L.P.",No,,None (or less,,
,,,,than $201),,
144.3,"Benchmark Israel II, L.P.",No,,None (or less,,
,,,,than $201),,
144.4,"Canaan Partners VII, L.P.",No,None (or less,,,
,,,than $201),,,
144.5,"Columbia Capital Equity Partners IV (QP),",No,None (or less,,,
,L.P.,,than $201),,,
144.6,"De Novo Ventures III, L.P.",No,None (or less,,,
,,,than $201),,,
144.7,"Domain Partners VII, L.P.",No,None (or less,,,
,,,than $201),,,
144.8,"Frazier Healthcare V, L.P.",No,None (or less,,,
,,,than $201),,,
144.9,"Galen Partners V, L.P.",No,None (or less,,,
,,,than $201),,,
144.1,"General Catalyst Group IV, L.P.",No,None (or less,,,
,,,than $201),,,
144.11,"Greylock Israel, L.P.",No,None (or less,,,
,,,than $201),,,
144.12,"IDG-Accel China Growth Fund, L.P.",No,None (or less,,,
,,,than $201),,,
144.13,"Insight Venture Partners V, L.P.",No,None (or less,,,
,,,than $201),,,
144.14,"M/C Venture Partners VI, L.P.",No,None (or less,,,
,,,than $201),,,
144.15,"NEOS GeoSolutions, Inc. (fka Terralliance",No,None (or less,,,
,"Technologies, Inc.)",,than $201),,,
144.16,"Polaris Venture Partners V, L.P.",No,None (or less,,,
,,,than $201),,,
144.17,"Rosewood Capital V, L.P.",No,None (or less,,,
,,,than $201),,,
144.18,"Segway, Inc.",No,None (or less,,,
,,,than $201),,,
144.19,Skyline Venture Partners Qualified,No,None (or less,,,
,"Purchaser Fund IV, L.P.",,than $201),,,
144.2,"Summit Partners Private Equity Fund VII-A,",No,None (or less,,,
,L.P.,,than $201),,,
144.21,"Trident Capital Fund-VI, L.P.",No,None (or less,,,
,,,than $201),,,
144.22,"US Venture Partners IX, L.P.",No,None (or less,,,
,,,than $201),,,
144.23,"Audax Mezzanine Fund II, L.P.",No,None (or less,,,
,,,than $201),,,
144.24,"Audax Private Equity Fund II, L.P.",No,None (or less,,,
,,,than $201),,,
144.25,"Bain Capital Fund IX, L.P.",No,None (or less,,,
,,,than $201),,,
144.26,"Calvert Street Capital Partners III, L.P.",No,None (or less,,,
,,,than $201),,,
144.27,"Catterton Partners VI, L.P.",No,None (or less,,,
,,,than $201),,,
144.28,"CS Capital Partners III, L.P.",No,None (or less,,,
,,,than $201),,,
144.29,Drawbridge Special Opportunities Fund L.P.,No,None (or less,,,
,,,than $201),,,
144.3,"Fortress Investment Fund III, L.P.",No,None (or less,,,
,,,than $201),,,
144.31,"Fortress Investment Fund IV, L.P.",No,None (or less,,,
,,,than $201),,,
144.32,"H.I.G. Capital Partners IV, L.P.",No,None (or less,,,
,,,than $201),,,
144.33,"OCM Opportunities Fund VI, L.P.",No,None (or less,,,
,,,than $201),,,
144.34,"OCM/GFI Power Opportunities Fund II, L.P.",No,None (or less,,,
,,,than $201),,,
144.35,"Silver Lake Partners III, L.P.",No,None (or less,,,
,,,than $201),,,
144.36,"Sun Capital Partners IV, L.P.",No,None (or less,,,
,,,than $201),,,
144.37,"Sun Capital Securities Fund, L.P. Tranche",No,None (or less,,,
,2Special,,than $201),,,
144.38,"TA X, L.P.",No,None (or less,,,
,,,than $201),,,
144.39,"TPG Partners V, L.P.",No,None (or less,,,
,,,than $201),,,
144.4,"Wayzata Opportunities Fund, LLC",No,None (or less,,,
,,,than $201),,,
144.41,"The Column Group, L.P.",No,None (or less,,,
,,,than $201),,,
144.42,"Court Square Ventures II, L.P.",No,None (or less,,,
,,,than $201),,,
144.43,"Diamond Castle Partners IV, L.P.",No,None (or less,,,
,,,than $201),,,
144.44,"Elevation Partners, L.P.",No,None (or less,,,
,,,than $201),,,
144.45,"Halifax Capital Partners II, L.P.",No,None (or less,,,
,,,than $201),,,
144.46,"Insight Equity I, L.P.",No,None (or less,,,
,,,than $201),,,
144.47,"Linden Capital Partners, L.P.V",No,None (or less,,,
,,,than $201),,,
144.48,"Madrona Venture Fund III, L.P.",No,None (or less,,,
,,,than $201),,,
144.49,"Northern Light Venture Fund, L.P.",No,None (or less,,,
,,,than $201),,,
144.5,"Rutland Fund II, L.P.",No,None (or less,,,
,,,than $201),,,
144.51,"TPG Biotechnology Partners II, L.P.",No,None (or less,,,
,,,than $201),,,
144.52,"Valhalla Partners II, L.P.",No,,,None (or less,
,,,,,than $201),
145,AETHER REAL ASSETS II,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
145.1,32 Degrees Diversified Energy Fund II (US),No,,,None (or less,
,L.P.,,,,than $201),
145.2,"Pacific Agricultural Realty, LP",No,,,None (or less,
,,,,,than $201),
145.3,"Kerogen Energy Fund, L.P.",No,,,None (or less,
,,,,,than $201),
145.4,"Blenheim Elgin Natural Resources Fund II,",No,,,None (or less,
,LLC,,,,than $201),
145.5,Leiden PE LP,No,,,None (or less,
,,,,,than $201),
145.6,African Minerals Exploration & Development,No,,,None (or less,
,Fund SICAR,,,,than $201),
145.7,"Fall Line Farms Fund I, LP",No,,,None (or less,
,,,,,than $201),
145.8,Lascaux Resource Capital Fund I L.P.,No,,,None (or less,
,,,,,than $201),
145.9,"Rockland Power Partners II, LP",No,,,None (or less,
,,,,,than $201),
145.1,Annapolis Investment (US) Limited,No,,,None (or less,
,Partnership VII,,,,than $201),
146,J7 Ranch LLC - Management of Personal,N/A,"$1,000,001 -",,"$201 - $1,000",
,Residence Ranch,,"$5,000,000 ",,,
147,"Buffalo Jump Ranch and Management, LLC",N/A,"$5,000,001 -",,None (or less,
,(99% Int) - Real Estate - Personal,,"$25,000,000 ",,than $201),
,Residence/Direct Investment,,,,,
148,BNY Mellon Domestic Equities,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.1,HEWLETT PACKARD ENTERPRIS,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
148.2,GENTEX CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.3,PROGRESSIVE CORP OHIO,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.4,BROWN FORMAN CORP CL B,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.5,TIFFANY & CO NEW,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.6,SUNTRUST BANKS INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.7,S & T BANCORP INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.8,INTERNATIONAL PAPER CO,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.9,HENRY (JACK) & ASSOCIATES INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.1,LOWE'S COMPANIES INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.11,BRUKER CORPORATION,N/A,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.12,SIMON PROPERTY GROUP INC REIT,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.13,ESTEE LAUDER COMPANIES CLASS A,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.14,VALERO ENERGY CORP NEW,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.15,NORDSTROM INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.16,V F CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.17,HORMEL FOODS CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.18,MORNINGSTAR INC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.19,SOUTHWEST AIRLS CO,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.2,OCCIDENTAL PETROLEUM CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.21,FIRSTENERGY CORP,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.22,BROADCOM LTD.,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
148.23,TESORO CORPORATION,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.24,OLD REPUBLIC INTL CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.25,ORACLE CORP,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.26,GRAINGER W W INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.27,PULTE GROUP INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.28,GRACO INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.29,PARKER HANNIFIN CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.3,ASPEN INSURANCE HOLDINGS LTD,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.31,GENERAL GROWTH PROPERTIES (Name,N/A,None (or less,Dividends,"$5,001 - $15,000",
,"changed to G G P, Inc.)",,"than $1,001)",Capital Gains,,
148.32,P G & E CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.33,Level 3 COMMUNICATIONS HLDGS INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.34,TELEFLEX INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.35,NORTHSTAR REALTY EUROPE CORP,No,None (or less,Capital Gains,"$2,501 - $5,000",
,,,"than $1,001)",,,
148.36,HOSPITALITY PROPERTIES TR,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.37,UNION PAC CORP,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.38,MARSH & MCLENNAN COS INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.39,HALLIBURTON CO,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.4,TYSON FOODS INC CLASS A,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.41,SCHLUMBERGER LTD,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.42,GILEAD SCIENCES INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.43,NORDSON CORP,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.44,CARNIVAL CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.45,TEXAS INSTRUMENTS INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.46,QUALCOMM INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.47,HARLEY DAVIDSON INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.48,GENERAL DYNAMICS CORP,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.49,VERTEX PHARMACEUTICALS INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.5,WESTROCK CO,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
148.51,PUBLIC SVC ENTERPRISE GROUP INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.52,JOHNSON CTLS INTL PLC,No,None (or less,Dividends,None (or less,
,,,"than $1,001)",,than $201),
148.53,T J X COMPANIES INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.54,S & P GLOBAL INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.55,LAM RESH CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.56,EMPIRE DISTRICT ELECTRIC CO,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.57,COCA-COLA EUROPEAN PARTNERS,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.58,PRAXAIR INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.59,PNM RES INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.6,S L GREEN REALTY CORP REIT,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.61,PAYPAL HOLDINGS INC,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
148.62,CORECIVIC INC,No,None (or less,Capital Gains,"$5,001 - $15,000",
,,,"than $1,001)",,,
148.63,NORTHROP GRUMMAN CORP,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.64,NATIONAL INSTRS CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.65,MICRON TECHNOLOGY INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.66,CVS HEALTH CORPORATION,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.67,INTUITIVE SURGICAL INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.68,KITE REALTY GROUP TRUST,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.69,CHARTER COMMUNICATIONS INC-A,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
148.7,TYSON FOODS INC CLASS A,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.71,GENERAL MILLS INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.72,INTERNATIONAL BUSINESS MACHINES CORP,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.73,WASTE CONNECTIONS INC,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
148.74,LOCKHEED MARTIN CORP,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.75,PINNACLE WEST CAP CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.76,INTEL CORP,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
